Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Intestinal infectious diseases - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number)
China,CHN,1997,3938688,2115090,590983,602448,321577,234114,188444,404484,206535,218226,171679,92646,188804,437650,251920,404171,167590,98628,50844,78411,60559,39739,34586,19808,31233,1399,5366,145049,66500,54154
China,CHN,1998,2928522,2144102,736245,753383,317264,210948,215608,336155,218148,275578,171634,117069,302409,161000,192402,392026,109460,85177,59553,104720,72560,38607,25697,30003,48400,7122,4200,207643,91128,45818
China,CHN,1999,3336338,2094452,590494,650372,314522,291947,181830,414258,196051,249281,162374,108250,179925,305126,133227,374739,133210,83610,60545,103414,74066,54652,39312,25625,21472,10810,14515,129121,80298,41279
China,CHN,2000,3897314,2015664,724913,630313,298501,225877,226827,332494,196586,250773,151615,144685,188300,373095,168403,420062,111576,74695,68758,107350,81139,50210,30255,34653,21000,11689,15472,116484,65433,35162
China,CHN,2001,4076193,2344243,559675,619288,427301,320848,177416,325751,206446,242461,153537,102409,227890,228263,105046,276796,123044,88402,56866,120070,66838,62538,22269,27295,39738,4200,8400,153098,37759,43186
China,CHN,2002,3603130,1970444,442006,660445,393458,258425,178894,345160,219477,272127,180127,127048,207596,251276,189347,306979,53876,68172,47448,137494,79617,57317,18281,24556,88861,9431,21278,121569,21869,42353
China,CHN,2003,3439602,1984553,462800,592488,373422,337751,226739,309720,195512,271145,192271,78926,63000,262315,125717,313018,88987,39266,45375,145860,104524,59481,22783,35461,84142,8721,18892,55449,5109,32969
China,CHN,2004,3588141,2108106,460758,620261,423270,265725,267859,346016,167787,233991,187459,74737,93033,154335,123974,261727,52135,36877,33815,138723,82094,66897,15358,48782,35000,10198,29785,58826,700,23607
China,CHN,2005,3961255,2257652,495925,708072,468756,340827,215736,325023,206531,188689,177851,125168,80583,213708,88575,240117,61210,40080,38236,136309,85089,87510,12921,40275,136589,7000,37562,60913,1290,26093
China,CHN,2006,3403428,2253480,348261,630268,487336,343750,261122,325433,195409,263811,147238,91731,44698,134095,100952,321646,43569,26092,34585,167929,75904,92177,10830,41054,87903,12771,42541,48098,1581,16008
China,CHN,2007,3587502,2506955,421475,593393,547575,372026,248608,274735,223504,230451,206132,82052,11289,81974,50723,255746,35524,19753,28113,207092,90241,114607,8236,39716,166396,31630,47626,50894,1561,15349
China,CHN,2008,3109299,2234897,393325,640904,528149,389715,252615,337789,223613,223793,148956,97743,1317,146513,56203,206940,24232,13681,18347,226671,88446,162141,4458,28992,94242,9100,31709,30868,1292,8327
China,CHN,2009,3964670,2151268,370034,731338,372385,354786,278399,273470,206612,173698,128266,72364,2057,78499,44304,223965,13025,5951,16391,245685,114680,147278,3181,47002,52500,10326,37092,17044,1690,4132
China,CHN,2010,3879796,2121388,355513,682635,543244,364013,196282,324893,245066,222404,174389,104072,1812,117955,23055,151246,1705,1618,13549,242752,102897,160279,1206,45412,56000,35711,61289,1320,998,1135
China,CHN,2011,3635271,2417721,332244,725061,580819,381886,281340,321571,221051,226251,155940,82764,1426,41671,13786,179945,1545,1361,9599,253458,119810,129118,1375,49117,105445,11200,47339,1413,1068,1351
China,CHN,2012,3066276,2197309,230884,746547,638592,386107,324237,260334,217873,171199,242105,85204,1214,21472,1766,109826,1689,1113,5403,246422,120890,120998,943,54583,63000,27992,47515,2110,1098,1565
China,CHN,2013,3875698,2290752,307908,688994,529854,390783,237748,286236,205241,229239,160398,89665,1438,7069,1606,124750,1168,1527,1542,243796,111221,132470,1435,44314,184181,31340,52801,1519,1495,1552
China,CHN,2014,3205648,2227587,353107,759222,632363,418660,266032,284698,215198,148354,224712,106363,1351,1346,1341,113615,1905,1196,1468,289943,113964,166700,1531,45591,120447,14828,49679,1149,1315,1876
China,CHN,2015,3032993,2122378,204205,625856,751227,437787,296008,304587,211887,208268,177288,70548,1703,1366,991,116891,831,1133,1350,261307,110481,181031,1754,46173,193710,73930,60872,1875,1577,1431
China,CHN,2016,3046516,2222066,182469,586957,645721,345225,330291,328023,214955,134269,232869,86690,1436,1460,1388,91835,1114,1088,1627,280518,132319,184331,1495,53273,77000,14700,50098,1212,1582,1363
China,CHN,2017,4091595,2026124,257277,700843,623593,471107,369694,299051,250785,251839,185979,68996,700,926,1638,73369,1025,1832,1377,294569,113836,141656,1633,68170,88527,15400,40475,1202,1745,1381
China,CHN,2018,3020711,2037269,176939,663019,712606,447015,359173,268452,209464,207573,225592,86598,920,1058,1856,45944,1251,1265,1386,380775,112975,190406,1178,63669,84000,25233,85727,1971,1323,1754
China,CHN,2019,3716678,2660351,141686,694620,751935,428792,296501,309376,249154,206899,204211,64358,1463,700,1282,37502,1746,1347,1458,310598,118622,158504,1279,38229,87500,78959,36883,1079,757,1096
Colombia,COL,1990,139486,72836,32795,19109,5502,5164,4632,13746,6997,12019,5958,2309,14883,9934,12567,17144,6799,5330,3465,51,1445,47,1961,522,54,60,25,7418,9688,3556
Colombia,COL,1991,120279,65740,30455,15242,5307,7769,5825,12980,8022,11448,4895,4944,25469,23069,11921,19247,5235,5531,3998,428,1766,57,1801,615,40,78,66,10353,8780,2467
Colombia,COL,1992,130901,67211,23408,25817,7456,6557,5678,14626,7673,11810,5632,4914,18484,8365,9085,17091,8346,3791,2817,838,2140,48,2057,691,68,74,38,8496,8431,3452
Colombia,COL,1993,115118,71671,17401,24234,8350,6172,6116,14144,7019,9174,4608,5168,17759,10151,6754,17158,7451,4594,2494,1074,1764,321,1535,752,51,32,40,6578,9807,2205
Colombia,COL,1994,143306,76908,27947,23367,8250,7506,6580,11163,7944,8660,4927,3454,10383,8473,10626,12296,4065,4349,3141,1715,1524,557,1608,826,27,104,92,9202,8109,2386
Colombia,COL,1995,107341,75847,21113,23870,9109,8352,6789,12276,7910,10063,6123,5135,15024,16280,8281,18961,5400,3962,2996,1754,2574,769,1516,624,469,25,35,6382,6841,1959
Colombia,COL,1996,110137,73149,13246,22689,10580,10167,7017,12536,6298,7929,5475,5137,7529,17446,7712,12149,7779,3176,2797,2388,1967,997,1083,583,250,132,155,7633,4721,1951
Colombia,COL,1997,118883,65342,23727,22720,10718,8762,5333,12369,6156,7197,7862,4563,16288,9145,7180,15385,5347,3193,1988,2730,2101,1349,1266,845,1539,162,252,8112,4905,2004
Colombia,COL,1998,152040,75623,18621,20835,12414,9664,6192,12386,6693,8628,5241,3357,10498,9377,4419,14855,5844,2743,2487,4153,2289,1653,1319,1038,1550,75,280,6108,2120,1992
Colombia,COL,1999,124467,70069,21617,25685,11907,10231,8037,14449,8246,10640,6504,6305,9736,11799,6143,13479,2848,2615,2212,3569,2593,1583,1233,844,625,100,349,5532,2893,1446
Colombia,COL,2000,122036,77195,22094,21497,11238,10631,6784,12213,5976,10236,5293,4578,4891,10934,6701,14326,3412,2817,1879,3459,2656,2014,1168,974,2259,125,460,4804,2416,1703
Colombia,COL,2001,131784,87170,20376,21017,14847,10776,8240,11726,6560,9648,6405,5588,8291,11067,5021,10657,3941,2017,2061,4163,2771,2093,1096,1195,3871,358,676,2536,2035,1497
Colombia,COL,2002,125801,72568,20834,21416,14290,10837,8204,12769,7383,11368,6063,4394,5297,7833,5384,12958,3379,2292,1552,5569,3031,2901,921,1336,1000,311,826,4233,1042,1319
Colombia,COL,2003,144937,71523,22049,24166,15925,12405,7740,9860,8608,7390,6633,3273,4957,12018,4873,10821,2541,1233,1313,6232,2494,2979,639,1279,1221,200,904,3088,249,874
Colombia,COL,2004,118197,73857,19981,25366,13908,13068,8543,12439,5885,8599,5461,3491,3455,5873,3783,7861,3362,1025,1274,5318,3706,3345,687,1227,2881,1366,720,1884,52,898
Colombia,COL,2005,122116,75860,22359,19084,17943,14378,6942,11606,7255,8195,6856,4937,2607,6979,3486,11661,1496,1140,948,6671,3032,4027,566,1259,3126,409,660,1625,43,977
Colombia,COL,2006,127468,85521,11559,23615,17153,11996,8598,10929,7888,9821,6226,2425,1825,5348,3426,8791,1311,620,803,6508,3018,2936,390,1097,2481,275,550,2299,43,685
Colombia,COL,2007,111310,57707,13486,21197,16246,10224,7929,12245,7482,8351,6421,2744,556,3667,2357,9058,981,624,1028,6690,2602,3618,293,1460,3476,300,944,1891,88,357
Colombia,COL,2008,116927,89376,13746,23105,18823,17741,8993,9916,8406,7871,7047,3884,50,4677,2038,6601,1160,579,925,8582,3535,4587,118,1634,1750,923,1118,1022,55,225
Colombia,COL,2009,138177,72007,10392,21941,21572,13866,9876,10985,9347,8953,6580,2786,25,2978,1370,7673,445,236,581,7048,3097,5534,99,1513,4395,592,700,455,53,160
Colombia,COL,2010,121397,68154,14595,23422,18577,13346,8653,12142,8713,7695,6299,3968,51,2500,1126,5044,64,47,624,8636,3937,4127,49,1745,5830,375,1310,42,41,44
Colombia,COL,2011,132822,82691,13035,23571,23330,16024,9964,11646,8234,6598,7498,2565,80,1227,599,6492,25,62,344,8443,2295,5098,55,1409,2125,400,1692,53,36,44
Colombia,COL,2012,134132,70850,8732,25573,20871,13854,11141,10530,8484,8090,6797,3758,57,500,41,5415,58,36,153,8992,4824,3315,40,1670,2250,425,2356,66,49,39
Colombia,COL,2013,127584,80057,9500,25407,22207,14871,11815,10024,6986,7837,7858,2943,52,361,37,5882,34,60,44,8291,4443,6962,56,1982,3877,833,1310,45,41,50
Colombia,COL,2014,104427,71618,7866,24787,23015,17230,10237,11070,8176,6062,5009,1900,57,62,51,3615,35,39,43,9373,4025,3847,48,1375,2763,475,1239,47,46,41
Colombia,COL,2015,94294,71144,9650,22582,26353,15061,10918,11588,7110,6666,8743,3318,50,57,44,2672,47,54,42,11059,3517,6495,52,1953,3277,1085,1775,40,39,45
Colombia,COL,2016,123105,73375,10111,23707,26917,16827,11373,9367,9650,6669,5252,3542,80,33,45,2511,63,43,47,9111,3899,5676,52,1554,3249,525,1693,38,40,47
Colombia,COL,2017,141642,72405,6139,27137,25679,13493,12124,10595,8404,6686,5991,3418,34,42,58,2304,58,53,46,10993,3973,5766,61,2053,8185,550,1682,43,31,57
Colombia,COL,2018,125748,76054,6257,25528,26483,14695,10770,10626,9755,5785,8108,4470,71,61,57,1463,58,51,47,11098,4437,4923,47,2107,4951,1208,3288,54,32,57
Colombia,COL,2019,113053,76508,5550,24816,30682,20087,13349,9768,9830,5986,7039,2602,49,25,53,965,50,46,52,11929,4197,5457,42,2476,9738,1994,2319,43,68,59
Democratic Republic of Congo,COD,1990,155787,77813,158499,36729,5723,5416,9664,23144,11765,16860,9937,16749,93293,343780,80630,36172,18356,33306,5641,49,2828,86,3411,1006,960,45,93,44611,14987,4086
Democratic Republic of Congo,COD,1991,142463,81663,162277,37697,6001,4749,7580,24753,12173,14473,11431,20242,68310,363434,50852,27436,11443,22290,4504,474,2892,81,3862,1146,520,45,87,48527,17779,6130
Democratic Republic of Congo,COD,1992,120227,79375,195836,40994,6538,6880,11713,23418,12465,20451,9682,20947,77231,262694,60245,34810,9413,24708,5329,910,2410,115,3424,1195,1059,144,94,37712,14576,5316
Democratic Republic of Congo,COD,1993,128791,76029,124482,33727,8077,7439,10099,27120,13368,19600,11141,12353,106524,258008,67025,43784,13341,26082,5964,1377,2554,443,3056,1019,604,99,97,39004,14034,5088
Democratic Republic of Congo,COD,1994,112829,75323,74073,36623,8872,9565,8616,22768,12681,18255,9805,13953,82440,447000,30693,23053,13019,16111,5051,1630,3451,1324,2715,1365,860,66,146,54904,14408,4362
Democratic Republic of Congo,COD,1995,138079,75591,111864,27053,10284,8310,10869,22758,12655,17088,10391,15863,63666,239024,46434,23925,12323,17128,6315,2046,3684,1499,3297,977,2250,101,96,44632,5625,3427
Democratic Republic of Congo,COD,1996,137531,80476,111855,47839,10722,8557,13224,25201,13758,15898,10533,19619,45673,369358,35109,17016,7951,21206,4727,2846,3479,1244,2709,1578,7338,186,180,30061,9942,3600
Democratic Republic of Congo,COD,1997,122316,78445,130559,46824,11091,9321,12311,26856,15691,14182,10065,15430,65075,515669,28190,27589,8925,16309,4386,2999,3761,2114,2730,1364,15570,318,466,37103,13104,3742
Democratic Republic of Congo,COD,1998,144470,77733,111570,42769,12676,7556,11257,25059,10446,20214,11400,14293,46363,313480,38199,23653,8043,14646,4650,3184,3983,3034,2351,1524,9598,135,780,32169,3600,3413
Democratic Republic of Congo,COD,1999,130240,75675,140293,35221,12169,11447,10665,20785,15564,17813,8693,17293,54598,236037,52072,28954,9345,13765,4026,3465,3819,3606,1835,1702,24654,566,360,29951,4522,2672
Democratic Republic of Congo,COD,2000,154540,75281,76828,42652,12038,11347,12776,21365,12247,16150,10880,13677,32045,252058,29683,25864,4655,13269,3345,4312,3916,5175,1199,1710,18977,585,841,22549,4705,2725
Democratic Republic of Congo,COD,2001,145297,86666,110422,48618,14498,11340,13629,22652,16043,14436,8394,16207,34994,179662,33698,24181,7534,12665,3353,4561,4545,4006,1419,1837,32938,886,690,17391,3079,2456
Democratic Republic of Congo,COD,2002,114805,88253,123257,35167,16428,13520,13513,19778,13798,15846,12705,16063,30063,212663,30142,17522,5697,10581,3619,5107,4552,4157,1098,2381,51854,1001,2135,21279,2009,2478
Democratic Republic of Congo,COD,2003,125085,91342,110885,44013,15953,11268,13511,22388,14428,14070,8264,14792,13153,104625,28636,18662,5610,6255,2297,5469,4853,5136,1172,2368,20250,1712,751,18116,467,1997
Democratic Republic of Congo,COD,2004,114321,81833,105502,43328,14919,12733,17190,20692,12005,12060,10212,13885,17857,200103,25675,19258,4577,9466,2602,5902,5454,4527,1355,2407,45298,1369,1853,16783,78,1467
Democratic Republic of Congo,COD,2005,134563,82814,87966,34265,18938,11112,12589,21368,15829,15134,13046,9562,17010,152723,14306,15281,3452,5571,1993,7335,7266,6061,954,2212,27345,1344,2830,18105,96,1448
Democratic Republic of Congo,COD,2006,129602,89152,89139,41240,17984,14454,16662,23660,16149,11276,10516,12257,11155,74250,21459,20919,2236,3228,1778,7543,6024,6213,649,2186,72226,1532,3010,12587,93,973
Democratic Republic of Congo,COD,2007,127742,83369,93544,37881,19017,14294,15776,21402,16520,13773,11988,18939,1456,137706,11961,12997,2300,2697,1304,7215,6784,7116,514,3079,37167,741,2226,7715,105,1029
Democratic Republic of Congo,COD,2008,149382,76381,79301,45523,18213,14880,18053,20886,13814,12082,15008,10729,291,119012,13647,10411,1107,2510,1408,6991,5847,7425,328,2139,61076,1999,1400,5871,66,608
Democratic Republic of Congo,COD,2009,119727,82993,60455,35523,19521,12770,17232,19416,12631,13010,11736,10698,292,102639,5764,10578,723,1175,1372,7468,7425,8968,191,2550,33750,1129,3509,2234,124,327
Democratic Republic of Congo,COD,2010,143673,87093,71045,37502,21311,14376,18257,19869,14710,12994,15179,18044,234,111879,5738,15047,102,308,984,8970,7022,6972,103,3369,117706,2142,2894,309,98,92
Democratic Republic of Congo,COD,2011,123502,88744,81801,47160,24824,18416,15322,21125,14222,13360,9916,11779,244,38322,2089,11736,88,249,585,8824,6981,9553,74,2738,95876,2033,2700,262,88,96
Democratic Republic of Congo,COD,2012,125504,94787,70064,41106,27502,15738,19255,20234,13245,12511,9402,12111,298,22711,330,8314,96,290,289,10306,6969,9207,97,3143,98244,3460,2532,296,96,81
Democratic Republic of Congo,COD,2013,118959,76194,49911,47349,29610,15226,17070,21438,14400,12304,13851,11858,207,10021,297,6702,102,261,87,10620,5251,8945,94,2565,111348,2436,1620,189,104,90
Democratic Republic of Congo,COD,2014,140359,75768,43669,51154,22947,18890,22173,22789,14421,14467,10868,8694,192,701,254,5465,87,304,121,10949,7979,7872,116,2103,97027,2409,2465,276,95,68
Democratic Republic of Congo,COD,2015,145026,90155,43745,46797,25310,16168,21803,19102,16581,13739,11651,7792,362,1335,257,7653,113,188,93,9123,7031,9897,80,2406,47250,4689,3439,262,85,107
Democratic Republic of Congo,COD,2016,114021,76472,35856,39057,29633,18084,21516,22996,16459,12193,13905,9383,304,675,329,4527,81,202,102,11482,9038,11490,77,3708,59051,4158,3081,322,106,103
Democratic Republic of Congo,COD,2017,146828,82974,32208,40069,22681,20476,20877,15864,16848,14332,12050,12978,386,790,332,3977,88,177,102,12610,5057,9510,103,3823,100144,1082,3786,242,83,117
Democratic Republic of Congo,COD,2018,120560,76165,33068,46513,28258,19398,22323,19939,15045,12745,8216,9439,341,1468,305,3243,65,267,87,10953,8041,10128,93,2743,148938,4682,3100,270,100,103
Democratic Republic of Congo,COD,2019,115347,92145,33905,35655,31928,22433,24745,19680,16178,13091,12772,10026,135,1595,279,1992,105,257,83,11829,9783,11735,98,3021,99463,2439,5515,292,83,92
Egypt,EGY,1990,223496,152208,59918,42910,8750,10074,8919,25693,14258,18185,11131,8961,29114,17500,21856,42500,9012,10182,6936,104,2599,98,3952,929,180,112,61,18268,24539,6651
Egypt,EGY,1991,258739,167330,51524,51256,12282,15500,10595,21162,14274,22566,11307,8757,23237,41453,19921,40734,13106,8515,7235,733,3424,107,2553,1112,50,179,110,20943,15960,4312
Egypt,EGY,1992,228489,166949,44009,44447,12291,14043,11838,24947,15305,21864,12059,10354,19522,32718,19922,41612,9982,9770,6001,1469,4808,79,3508,1246,50,71,101,15128,19152,5705
Egypt,EGY,1993,258040,135224,44565,46365,15996,16832,11445,27514,14658,17973,10103,7305,21209,17777,11212,29869,12962,8274,6691,2720,4220,372,3058,1507,96,112,94,13733,11086,4399
Egypt,EGY,1994,237194,150397,48222,37434,16989,13587,10774,26105,13081,19612,11565,12829,26000,31853,9000,30521,10841,5937,5865,3301,2780,973,3201,1371,50,148,143,17461,14586,4150
Egypt,EGY,1995,231435,155832,52492,46318,13901,14156,12513,24522,15052,20441,10601,10014,36960,24537,19769,33720,10175,7529,5181,3570,3301,1655,3155,1508,376,50,127,18379,11703,3834
Egypt,EGY,1996,269404,152965,42513,40571,19910,19677,14406,23812,14811,21204,10177,7658,20471,13000,17607,28002,16222,7546,5812,4316,4674,2127,2810,1736,500,130,287,17378,11315,2971
Egypt,EGY,1997,269031,144794,32320,37507,23172,19014,14660,22312,16205,18983,14433,8447,19633,21862,16749,30711,8423,6129,6462,5687,4670,2237,2804,1256,3260,99,284,12096,7817,3967
Egypt,EGY,1998,279206,122005,47257,40278,24895,19906,13809,27046,15494,14022,10849,8824,19521,17575,18745,24472,9886,5727,4304,6078,5049,3280,2760,2121,2615,713,698,11510,6642,3627
Egypt,EGY,1999,217335,140302,46685,48774,24496,17573,14537,21226,13191,14357,13085,8644,21778,17011,14783,30579,6430,5063,3862,7927,3724,3128,2142,1452,3385,200,1134,11142,6477,3002
Egypt,EGY,2000,242376,161899,43371,43782,26070,20438,19412,23801,15540,14901,11158,8469,15857,26062,16044,27378,7984,6381,4485,8705,4068,4875,2386,2325,1500,824,1087,8596,4260,3229
Egypt,EGY,2001,221272,160060,34815,49483,25127,24784,17209,24925,13135,17547,13293,7774,14478,21196,8864,28030,4405,5796,3440,8731,5411,6197,1691,2381,4671,332,871,8026,2714,2915
Egypt,EGY,2002,252732,117391,39635,33362,24868,20930,15555,24027,13656,19947,13443,5950,12921,18481,8614,22765,6894,4954,3177,10166,4927,4599,2055,2084,5860,1569,700,8696,2377,2384
Egypt,EGY,2003,188075,152571,40130,44446,27101,19505,13891,27909,15243,15769,11174,5368,12620,16754,10820,21957,6718,4180,3426,9897,5739,6759,1479,2533,2250,400,1861,7165,428,2370
Egypt,EGY,2004,264487,133530,30096,48613,32191,26676,17882,26226,16332,16814,16277,8040,8923,9353,10745,16802,7592,2905,2539,10027,5469,4846,1142,2362,5380,450,2170,5844,127,1338
Egypt,EGY,2005,232370,147372,35345,37205,37931,22704,18939,24473,14189,16819,14012,5930,6611,14962,7081,18941,3809,2348,3214,11783,5814,5570,1040,2428,10607,1682,2071,2500,57,1352
Egypt,EGY,2006,240638,163017,41534,51188,34960,25774,19165,25215,13922,16336,13171,4322,1961,13605,5538,11637,3911,2030,1861,11840,4404,11140,697,2907,7766,1361,2020,4795,71,1126
Egypt,EGY,2007,260454,143027,26509,50243,33897,23770,17739,22225,17393,15272,13589,8932,986,12199,6041,18015,2968,1509,2281,14930,5432,7734,409,2273,6080,920,1200,2119,101,647
Egypt,EGY,2008,262198,143785,20573,53186,37577,20361,19931,21155,16630,19174,10456,7262,83,7122,4661,17975,1437,1317,1563,12657,7215,7181,493,1935,9778,1438,1789,1721,94,590
Egypt,EGY,2009,214807,153000,30418,49496,40858,28901,18340,25705,12339,15560,15159,5054,101,4398,3179,11987,625,579,1181,14882,7553,8496,233,2053,10347,700,4313,1193,83,231
Egypt,EGY,2010,240503,130316,25718,40565,44616,22582,20697,22278,16457,12583,11718,7795,110,4604,1431,15657,104,117,1029,14209,6547,9312,84,3437,4000,2950,3781,87,75,77
Egypt,EGY,2011,237051,148113,20283,49784,35568,28044,22982,20525,14787,18558,9648,9885,103,2293,1018,11447,94,99,586,15207,7293,13772,103,3147,4250,1900,2336,101,116,93
Egypt,EGY,2012,274315,159296,19060,44875,43252,29592,20886,21643,18669,12956,11875,8928,104,2488,50,14115,108,75,419,16586,7100,11502,124,3580,16485,3288,4775,89,101,106
Egypt,EGY,2013,287287,169271,25001,48590,38861,37701,20398,21869,17872,12917,9403,6804,85,318,94,10913,120,53,107,18522,7440,7433,85,2904,10872,900,2633,105,128,100
Egypt,EGY,2014,264583,147463,17921,48211,48687,37106,25761,22002,15307,14306,12247,6819,110,89,100,7344,83,93,97,20048,6745,13388,95,3167,5663,2801,3706,110,103,93
Egypt,EGY,2015,218825,159216,21965,45087,51134,30360,24704,19500,15352,14760,12180,4227,82,161,94,7266,135,108,110,21515,9070,10292,91,2984,9701,2102,3870,113,83,71
Egypt,EGY,2016,270319,136061,15454,48709,43377,36045,24767,21168,15796,11579,16119,5445,75,121,91,6044,107,93,105,20895,7783,13457,96,3980,14931,4021,6269,109,91,106
Egypt,EGY,2017,284825,139195,18064,49027,44277,32321,24346,21340,17624,13671,11546,7381,85,67,87,5011,83,104,103,25270,7830,8899,121,3979,12801,1100,4254,94,125,109
Egypt,EGY,2018,238119,171503,15346,54330,61480,27473,25582,22363,17556,12140,13776,6256,93,163,73,3651,119,92,103,21909,7854,15564,144,3293,18742,1149,3277,120,72,117
Egypt,EGY,2019,231567,143452,9864,46173,50575,37188,22251,22470,18506,11897,14552,6190,141,89,96,2336,79,132,103,19385,9732,10925,82,5150,9764,2024,4543,90,65,127
Ethiopia,ETH,1990,150113,100568,208658,61048,7536,9877,12609,28699,14846,23813,10876,7722,113681,362216,73477,49033,17561,38803,9083,74,3933,115,4697,1235,212,137,109,74961,23132,6677
Ethiopia,ETH,1991,191748,97990,167732,52082,8591,8611,9288,31264,19032,25073,10450,10365,93444,436954,62418,37584,10733,29020,8396,579,3690,105,5410,1159,57,65,93,59288,14000,8108
Ethiopia,ETH,1992,165607,100708,181946,44194,9358,10657,12697,31049,16134,21237,13227,6174,91421,349528,66095,47709,16750,23709,8990,1271,3932,134,4117,1268,147,304,148,48482,22482,6783
Ethiopia,ETH,1993,163454,97326,193640,45710,9905,8543,13043,32554,17004,20672,14217,10643,87919,263062,53700,41515,17635,33901,7317,1763,4796,658,4241,1639,86,138,104,48282,18580,7382
Ethiopia,ETH,1994,184061,98812,207940,59532,10026,10664,13978,25101,16169,23424,15843,6692,61626,738102,54064,47741,11383,30828,5723,2452,5089,799,3310,1629,57,101,86,75850,19080,4901
Ethiopia,ETH,1995,157490,111519,158542,42464,10745,10250,15132,29491,13122,23654,13227,10995,57835,316420,36772,28396,17359,27013,7998,2456,4853,1269,3581,1703,516,154,116,62703,10654,5077
Ethiopia,ETH,1996,150318,104047,173854,48336,14643,12214,15515,28505,17298,24484,10900,8488,79504,393360,48323,31442,18904,24839,5009,3004,5055,2909,3227,2017,1015,57,197,41076,14983,3315
Ethiopia,ETH,1997,179466,111566,162915,48983,12706,11341,14304,27330,20388,26881,17195,7912,58648,393182,45010,36722,6178,23029,4011,3267,6372,3507,2308,1712,1875,330,377,46167,12123,4603
Ethiopia,ETH,1998,154769,106334,161232,45872,14502,12572,15491,28205,17954,21758,13503,9975,72723,409548,47311,31206,8915,24030,5178,4795,4940,3405,2713,1670,2901,721,374,42305,8131,4799
Ethiopia,ETH,1999,163655,101880,169422,45494,16982,12577,18059,31646,16644,24902,13025,9076,59836,431960,37930,33207,10084,23441,5562,4694,4402,4999,2420,2101,1437,230,770,30174,9158,2414
Ethiopia,ETH,2000,174194,80192,140479,52456,14409,15704,18667,28226,17348,16331,14944,11030,60210,299130,42296,34334,8917,17535,4527,5526,5153,3787,2259,1601,2252,680,1165,35032,6082,3445
Ethiopia,ETH,2001,188404,101839,115153,50201,17806,12494,17319,27377,19104,20436,12451,7896,43074,169297,34970,30777,8434,15283,4613,6892,6421,6184,1763,2321,3360,345,1601,42101,5201,3446
Ethiopia,ETH,2002,170291,110567,133378,58467,21057,18045,17718,32519,15874,16379,14078,11150,45630,333650,36338,28310,6567,11879,3972,6541,4738,4591,2504,2717,2300,974,1554,13800,3051,3137
Ethiopia,ETH,2003,179917,99596,99156,58751,22941,13993,20430,29893,18455,21485,13695,8191,37885,235804,31486,26002,5644,13542,3429,6456,6332,7305,1658,2580,6767,460,2333,20930,662,2559
Ethiopia,ETH,2004,181573,82997,102539,45989,19528,13471,21565,28901,17161,18894,12977,9275,20631,225719,33943,25279,4912,10919,3349,8723,7161,7525,786,2944,2875,1637,1614,22990,137,1954
Ethiopia,ETH,2005,200051,105402,96238,57149,23184,10834,19226,25039,15058,18994,18117,7284,16203,147096,20988,24697,5264,7862,2691,9763,8112,8420,1211,3293,3162,1252,2587,25188,115,1540
Ethiopia,ETH,2006,184744,120324,109171,56646,26060,20432,20646,28541,18400,15761,17466,7480,9712,182843,16073,26021,3280,8336,2542,8099,7191,6384,877,2882,3450,844,2818,14323,120,1672
Ethiopia,ETH,2007,186078,115709,101251,49521,25694,19855,19767,23884,19404,20001,16831,10035,2579,81937,19831,17267,3083,3952,2000,8902,8071,11336,649,3588,13779,1895,2790,9087,146,657
